NO.,CODE,PART NUMBER,PALLET NO.,PACK SIZE,NO. OF BOX,TOTAL,LOCATOR,,
113,,15612-16-16N,2,100,3,300,GC11,,
289,,22611D-06-06N,2,500,3,"1,500",GC11,,
306,,22612D-16-16N,2,85,11,935,GC11,,
323,,22642-12-12N,2,100,1,100,GC11,,
338,,22692-12-12N,2,100,1,100,GC11,,
344,,24211T-06-06N,2,350,1,350,GC11,,
381,,26711-06-06N,2,700,1,700,GC11,,
414,,26741-04-04N,2,500,1,500,GC11,,
416,,26741-08-08N,2,200,2,400,GC11,,
564,,87312-12-12N,2,120,3,360,GC11,,
178,,1JN-16-16N,6,130,6,780,HA3,,
303,,22612D-12-12N,6,150,3,450,HA3,,
318,,22641-08-08N,6,150,1,150,HA3,,
406,,26712D-10-10N,6,200,2,400,HA3,,
409,,26712D-12-12N,6,150,3,450,HA3,,
410,,26712D-16-16N,6,75,6,450,HA3,,
434,,26792-16-16N,6,50,1,50,HA3,,
63,,00400-24T,7,50,4,200,GB7,,
116,,15612-20-20N,7,50,1,50,GB7,,
188,,1JN-24-24N,7,50,1,50,GB7,,
287,,22611D-04-04N,7,700,1,700,GB7,,
298,,22612-16-16N,7,100,4,400,GB7,,
325,,22642-16-16N,7,50,2,100,GB7,,
348,,24211T-10-10N,7,170,4,680,GB7,,
369,,24291T-10-10N,7,100,1,100,GB7,,
372,,24292T-16-16N,7,50,2,100,GB7,,
53,,00400-12T,10,200,26,"5,200",GA13,,
56,ZHTM,00400-16T,240709-P1,100,12,"1,200",CB9,,
156,NXHE,1J-16-16N,240709-P3,125,1,125,GC13,,
205,NXHE,1JN9-24-24N,240709-P3,30,6,180,GC13,,
353,NXHE,24212T-16-16N,240709-P3,85,5,425,GC13,,
467,ZHTM,28612D-30-12N,240709-P3,125,4,500,GC13,,
554,NXHE,700M-20N,240709-P3,300,1,300,GC13,,
555,NXHE,700M-22N,240709-P3,150,2,300,GC13,,
556,ZHTM,700M-26N,240709-P3,150,2,300,GC13,,
60,ZHTM,00400-20T,240709-P4,75,11,825,GB2,,
64,ZHTM,00400-24T,240709-P4,50,1,50,GB2,,
73,ZHTM,00400-32T,240709-P4,40,1,40,GB2,,
203,NXHE,1JN9-20-20N,240709-P4,50,6,300,GB2,,
268,NXHE,20591T-16-04N,240709-P4,100,1,100,GB2,,
457,NXHE,28611D-18-06N,240709-P4,350,2,700,GB2,,
218,NXHE,1N-16-16N,240709-P5,125,1,125,HA2,,
242,NXHE,20511C-24-10N,240709-P5,100,1,100,HA2,,
330,NXHE,22691-08-08N,240709-P5,200,1,200,HA2,,
351,NXHE,24212T-12-12N,240709-P5,125,10,"1,250",HA2,,
453,NXHE,28611D-12-04N,240709-P5,500,1,500,HA2,,
460,NXHE,28611D-22-08N,240709-P5,225,2,450,HA2,,
461,NXHE,28612-24-10N,240709-P5,250,1,250,HA2,,
622,ZHTM,90012-16-16N,240709-P5,65,1,65,HA2,,
189,,1JN-24-24N,240709-P6,50,2,100,GC9,,
313,ZHTM,22612D-24-24N,240709-P6,35,1,35,GC9,,
314,ZHTM,22612D-24-24N,240709-P6,30,1,30,GC9,,
375,ZHTM,24292T-20-20N,240709-P6,25,6,150,GC9,,
431,,26792-12-12N,240709-P6,100,1,100,GC9,,
464,,28612-33-16N,240709-P6,100,3,300,GC9,,
601,NXHE,87912-16-16N,240709-P6,65,1,65,GC9,,
158,NXHE,1J-20-20N,240709-P7,75,3,225,HA1,,
179,NXHE,1JN-16-16N,240709-P7,100,1,100,HA1,,
355,NXHE,24212T-20-20N,240709-P7,50,4,200,HA1,,
358,ZHTM,24212T-24-24N,240709-P7,30,7,210,HA1,,
559,ZHTM,700M-30N,240709-P7,100,3,300,HA1,,
105,NXHE,15611-04-04N,241025-P1,500,1,500,CB6,,
118,NXHE,15612-24-24N,241025-P1,40,3,120,CB6,,
121,NXHE,15612-32-32N,241025-P1,20,5,100,CB6,,
134,NXHE,16712-16-16N,241025-P1,100,3,300,CB6,,
137,NXHE,16712-32-32N,241025-P1,25,1,25,CB6,,
145,ZHTM,1J-08-06N,241025-P1,700,1,700,CB6,,
