Dept,Warehouse,Supplier Reference,Part Number,Physical inventory,Locations,Item number
MA,MA-MAIN,,LS2025143,1.00,,1004202512891
MT,MT-MAIN,,BRHVQ3,1.00,,1006202404413
MT,MT-MAIN,,172-868-12,1.00,SR-CA9,1006202407214
MT,MT-MAIN,,810-191-21-MAP-1,1.00,,1006202408403
MT,MT-MAIN,,178-741-13,5.00,HL3L21,1006202510693
MT,MT-MAIN,,178-742-13,9.00,HL3L21,1006202510694
MT,MT-MAIN,,F0N9L94,1.00,,1006202511157
MT,MT-MAIN,,810-306,4.00,HL3L21,1006202512263
MT,MT-MAIN,,176-969-13,1.00,,1006202614810
NC,NC-MAIN,,3260770,1.00,,1007202300062
NC,NC-MAIN,,359312,1.00,,1007202406989
NC,NC-MAIN,,359402,1.00,,1007202407130
NC,NC-MAIN,,04D1C296,1.00,,1007202509943
NC,NC-MAIN,,172602447,1.00,,1007202613576
NC,NC-MAIN,,172600395,1.00,,1007202613586
NC,NC-MAIN,,SM264301,1.00,,1007202613741
NC,NC-MAIN,,0134315,1.00,,1007202613754
NC,NC-MAIN,,363797,1.00,,1007202614993
VKH,VKH-MAIN,,S-A1020221574P,1.00,,1014202300517
VKH,VKH-MAIN,,S-A1120221564P,1.00,,1014202300519
VKH,VKH-MAIN,,H-B0720221177P,1.00,,1014202300520
VKH,VKH-MAIN,,S-A0720231081P,1.00,,1014202303241
VKH,VKH-MAIN,,H-B0820241070P,1.00,,1014202408628
VKH,VKH-MAIN,,H-B0820241073P,1.00,,1014202408631
VKH,VKH-MAIN,,S-A0720231082P INC,1.00,,1014202615402
VKM,VKM-MAIN,,ORA04L1,1.00,,1015202407440
VKM,VKM-MAIN,,PFD510A SN:2507R00041,1.00,,1015202511862
VKO,VKO-MAIN,,WW965/L100N,1.00,,1016202304163
VKO,VKO-MAIN,,CM107147025-01 MC9P-500/960 440/3/60,1.00,,1016202408947
VKO,VKO-MAIN,,700995847,1.00,,1016202513076
VKO,VKO-MAIN,,"CE20-500, 2129810426",1.00,,1016202614778
MA,MA-MAIN,,PFD510A,1.00,,1040000502004
MT,MT-MAIN,,S/N 100104  ;  CN 0040356-00,1.00,,1060001600523
MT,MT-MAIN,,PMP-60C,3.00,HL3L30,1060001700247
MT,MT-MAIN,,PMP - 60B,2.00,HL3L30,1060001700469
MT,MT-MAIN,,PMZM -7B -ST1,1.00,HL3L30,1060001700490
MT,MT-MAIN,,S/N 2305107 ; CN 359-508,1.00,HL3L37,1060531600017
MT,MT-MAIN,,178-561-01E-PR14***,1.00,HL3L21,1063091705796
MT,MT-MAIN,,178-561-01E,1.00,HL3L21,1063091705802
MT,MT-MAIN,,191-125,1.00,,1063091707448
MT,MT-MAIN,,178-561-12E,2.00,HL3L21,1063091707509
MT,MT-MAIN,,302-802-10,1.00,,1063091707547
MT,MT-MAIN,C,0253129-00,1.00,HL3L20,1067771700026
MT,MT-MAIN,,0336918-00,1.00,HL3L20,1067791700020
NC,NC-MAIN,,COMM NO.327.623 (3),1.00,,1070000909787
NC,NC-MAIN,,22110406,1.00,,1070001126725
NC,NC-MAIN,,23217B,1.00,,1070001422728
VKM,VKM-MAIN,,DSA69B,2.00,,1110000500123
VKM,VKM-MAIN,,KHA750-301-G1 (380 V),1.00,,1110001400026
VKM,VKM-MAIN,,KHA750-301-G1 (220V),1.00,,1110001400033
CT,CT-MAIN,,S/N: C12-M14-K14-1108,1.00,,1120003500808
VKO,VKO-MAIN,6862297,S3 L100 LC,1.00,,1160341700133
MA,MA-MAIN,,POWER SUPPLY-S8FS-C03524,2.00,HL2L25,2004202200003
MA,MA-MAIN,,OFFSET TOOLING,1.00,HL2L34,2004202300128
MA,MA-MAIN,,0908040282,2.00,HL2L28,2004202300155
MA,MA-MAIN,,0908040145,2.00,HL2L28,2004202300156
MA,MA-MAIN,,907570,1.00,HL2L34,2004202300184
MA,MA-MAIN,,1005010532,1.00,HL2L28,2004202300389
MA,MA-MAIN,,221040 5.20 x 20.50; SK=03,1.00,HL2L20,2004202300686
MA,MA-MAIN,,Foot pedal Assy- 103032059,1.00,,2004202300757
MA,MA-MAIN,,Nozzle- 1002010167,7.00,HL2L28,2004202300759
MA,MA-MAIN,,Nozzle- 1002010163,18.00,HL2L28,2004202300760
MA,MA-MAIN,, 0612010012,1.00,HL2L28,2004202300762
MA,MA-MAIN,,0911090001,4.00,HL2L28,2004202300763
MA,MA-MAIN,,74613249,4.00,HL2L24,2004202300892
MA,MA-MAIN,,Nozzle - 1002010165,8.00,HL2L28,2004202300952
MA,MA-MAIN,,1005010035,1.00,HL2L28,2004202300955
MA,MA-MAIN,,1005010405,1.00,HL2L28,2004202300960
MA,MA-MAIN,,Pressing Ring,1.00,HL2L28,2004202300961
MA,MA-MAIN,,1005010275,2.00,HL2L28,2004202300968
MA,MA-MAIN,,0911090048,2.00,HL2L28,2004202300969
MA,MA-MAIN,,71501057,10.00,,2004202300992
MA,MA-MAIN,,261V20 X 5.90; CL=0.40,2.00,,2004202301287
MA,MA-MAIN,,261V20 X 7.40; CL=0.40,1.00,,2004202301288
MA,MA-MAIN,,261V20 X 9.40; CL=0.40,1.00,,2004202301289
MA,MA-MAIN,,0609020068,1.00,HL2L28,2004202301407
MA,MA-MAIN,,36181500,1.00,HL2L21,2004202301460
MA,MA-MAIN,,153001042,1.00,,2004202301670
MA,MA-MAIN,,153001043,1.00,,2004202301672
MA,MA-MAIN,,0912060003,1.00,HL2L28,2004202301678
MA,MA-MAIN,,0609020028,7.00,HL2L28,2004202301691
MA,MA-MAIN,,0208020177,1.00,HL2L30,2004202301701
MA,MA-MAIN,,101019804,1.00,,2004202301702
MA,MA-MAIN,,65X73X5/7,4.00,HL2L34,2004202301731
MA,MA-MAIN,,65X75X6,6.00,HL2L34,2004202301739
MA,MA-MAIN,,1002010714,6.00,HL2L28,2004202301751
MA,MA-MAIN,,70x9.5x2.5,6.00,HL2L34,2004202301963
MA,MA-MAIN,,1001010294,2.00,HL2L30,2004202302432
MA,MA-MAIN,,74451865,2.00,HL2L38,2004202302528
MA,MA-MAIN,,131000170,2.00,HL2L28,2004202302555
MA,MA-MAIN,,0911090010,9.00,HL2L28,2004202302557
MA,MA-MAIN,,0911040004,1.00,HL2L28,2004202302558
MA,MA-MAIN,,1005010712,9.00,HL2L28,2004202302565
MA,MA-MAIN,,53X60X3,1.00,HL2L34,2004202302611
MA,MA-MAIN,,53X60X3 VITON,2.00,HL2L34,2004202302612
MA,MA-MAIN,,47X40X3.5,4.00,HL2L34,2004202302613
MA,MA-MAIN,,47X40X3.5 VITON,3.00,HL2L34,2004202302614
MA,MA-MAIN,,0911040028,5.00,HL2L28,2004202302616
MA,MA-MAIN,,0208010076,2.00,HL2L30,2004202302722
MA,MA-MAIN,,71564236,1.00,HL2L24,2004202302759
MA,MA-MAIN,,1005010711,10.00,HL2L28,2004202303233
MA,MA-MAIN,,WISECAM - Software,1.00,HL2L38,2004202303330
MA,MA-MAIN,,0208020004,2.00,HL2L30,2004202303368
MA,MA-MAIN,,74613264,4.00,HL2L24,2004202303477
MA,MA-MAIN,,0402010086,2.00,HL2L28,2004202303706
MA,MA-MAIN,,0905050366,1.00,HL2L28,2004202303781
MA,MA-MAIN,,0609020099,4.00,HL2L28,2004202303841
MA,MA-MAIN,,1005011032,1.00,HL2L28,2004202303866
MA,MA-MAIN,,1002010538,6.00,HL2L28,2004202303898
MA,MA-MAIN,,1002010534,3.00,HL2L28,2004202303911
MA,MA-MAIN,,36323602,1.00,HL2L21,2004202303939
MA,MA-MAIN,,FIBRA WEAR RING,4.00,HL2L34,2004202304023
MA,MA-MAIN,,MONO SEAL POLYURETHANE,2.00,HL2L34,2004202304024
MA,MA-MAIN,,0906010061,2.00,HL2L28,2004202304043
MA,MA-MAIN,,0910010114,1.00,HL2L28,2004202304045
MA,MA-MAIN,,0911110077,1.00,HL2L28,2004202304047
MA,MA-MAIN,,E16052,1.00,HL2L25,2004202304186
MA,MA-MAIN,,E16051,1.00,HL2L25,2004202304187
MA,MA-MAIN,,E16053,1.00,HL2L25,2004202304188
MA,MA-MAIN,,E16055,1.00,HL2L25,2004202304189
MA,MA-MAIN,,261V20 X 3.90; CL=0.40; SK=01,1.00,,2004202304221
MA,MA-MAIN,,261V20 X 4.90; CL=0.40; SK=01,3.00,,2004202304223
MA,MA-MAIN,,261V20 X 6.90; CL=0.40; SK=01,2.00,,2004202304226
MA,MA-MAIN,,261V20 X 13.10; CL=0.40; SK=01,3.00,,2004202304229
MA,MA-MAIN,,271V20 7.40 X 7.40; CL=0.40; 45DEG,2.00,HL2L20,2004202304230
MA,MA-MAIN,,261V20 X 6.30; CL=0.30; SK=01,1.00,HL2L20,2004202304248
MA,MA-MAIN,,271V20 7.30 X 7.30; CL=0.30; SK=01,1.00,HL2L20,2004202304253
MA,MA-MAIN,,0208020023,3.00,HL2L30,2004202304279
MA,MA-MAIN,,121000412,4.00,HL2L28,2004202404410
MA,MA-MAIN,,36326055,1.00,HL2L21,2004202404434
MA,MA-MAIN,,Ketec Rolling Shear Tooling 1.2mm (W/ Punch&Die),1.00,HL2L27,2004202404466
MA,MA-MAIN,,1002010539,6.00,HL2L28,2004202404478
MA,MA-MAIN,,4*835mm; 85 DEG,1.00,,2004202404599
MA,MA-MAIN,,HYPLUS AW-46,3.00,,2004202404628
MA,MA-MAIN,,0911050112,2.00,HL2L28,2004202404895
MA,MA-MAIN,,1001010600,2.00,HL2L28,2004202405077
MA,MA-MAIN,,0209013413,6.00,HL2L28,2004202405340
MA,MA-MAIN,,H17691,1.00,HL2L25,2004202405391
MA,MA-MAIN,,36388219,2.00,HL2L21,2004202405392
MA,MA-MAIN,,36181112,2.00,HL2L21,2004202405393
MA,MA-MAIN,,36180997,2.00,HL2L21,2004202405394
MA,MA-MAIN,,121000210,2.00,HL2L28,2004202405476
MA,MA-MAIN,,0202050227,1.00,HL2L28,2004202405613
MA,MA-MAIN,,0908040103,3.00,HL2L28,2004202405729
MA,MA-MAIN,,GVP4BLKPM,1.00,HL2L38,2004202405767
MA,MA-MAIN,,VP4WTYEXT,1.00,HL2L38,2004202405768
MA,MA-MAIN,,74415756,1.00,HL2L24,2004202405848
MA,MA-MAIN,,0208020151,3.00,HL2L30,2004202405911
MA,MA-MAIN,,0208020017,2.00,HL2L30,2004202405912
MA,MA-MAIN,,H17695,3.00,HL2L25,2004202406050
MA,MA-MAIN,,H17697,1.00,HL2L25,2004202406051
MA,MA-MAIN,,H17276,1.00,HL2L25,2004202406052
MA,MA-MAIN,,H17871,2.00,HL2L25,2004202406053
MA,MA-MAIN,,H17694,3.00,HL2L25,2004202406054
MA,MA-MAIN,,H17693,1.00,HL2L25,2004202406055
MA,MA-MAIN,,H17696,1.00,HL2L25,2004202406056
MA,MA-MAIN,,1001010477,3.00,HL2L28,2004202406178
MA,MA-MAIN,,RECTIFIER BRIDGE,2.00,HL2L25,2004202406275
MA,MA-MAIN,,0517010009,1.00,HL2L28,2004202406329
MA,MA-MAIN,,11021MA20066,3.00,HL2L28,2004202406385
MA,MA-MAIN,,405010225,20.00,,2004202406402
MA,MA-MAIN,,10.108 (20mm),1.00,HL2L26,2004202406523
MA,MA-MAIN,,1002010591,5.00,HL2L26,2004202406628
MA,MA-MAIN,,1001010548,2.00,HL2L28,2004202406629
MA,MA-MAIN,,0617020349,1.00,HL2L28,2004202406633
MA,MA-MAIN,,O-RING 160 X 3.2,1.00,HL2L28,2004202406634
MA,MA-MAIN,,0911090012,3.00,HL2L28,2004202406646
MA,MA-MAIN,,261V20 X 9.45; CL=0.45,1.00,,2004202406868
MA,MA-MAIN,,1005010377,1.00,HL2L28,2004202406959
MA,MA-MAIN,,1001010304,1.00,HL2L28,2004202406960
MA,MA-MAIN,,1001010279,5.00,HL2L28,2004202406961
MA,MA-MAIN,,0901242475,1.00,HL2L28,2004202406962
MA,MA-MAIN,,1005010430,1.00,HL2L28,2004202406973
MA,MA-MAIN,,0709020032,2.00,HL2L28,2004202407032
MA,MA-MAIN,,1001010601,5.00,HL2L28,2004202407073
MA,MA-MAIN,,36181281,8.00,HL2L21,2004202407080
MA,MA-MAIN,,Tellus S2 MX 100,4.00,,2004202407156
MA,MA-MAIN,,GREASE GUN - JH21-100,4.00,,2004202407161
MA,MA-MAIN,,0208020164,1.00,HL2L30,2004202407230
MA,MA-MAIN,,0202050264,2.00,HL2L28,2004202407231
MA,MA-MAIN,,1001010419,3.00,HL2L28,2004202407327
MA,MA-MAIN,,1002010589,4.00,,2004202407444
MA,MA-MAIN,,1002010590,10.00,,2004202407445
MA,MA-MAIN,,1002010593,10.00,HL2L28,2004202407446
MA,MA-MAIN,,5.7 X 110,5.00,HL2L34,2004202407447
MA,MA-MAIN,,3 X 120,5.00,HL2L34,2004202407448
MA,MA-MAIN,,1002010543,2.00,HL2L28,2004202407582
MA,MA-MAIN,,1002010547,5.00,HL2L28,2004202407583
MA,MA-MAIN,,1002010544,2.00,HL2L28,2004202407584
MA,MA-MAIN,,1002010862,5.00,HL2L28,2004202407585
MA,MA-MAIN,,1002010863,5.00,HL2L28,2004202407586
MA,MA-MAIN,,0906010163,2.00,HL2L28,2004202407587
MA,MA-MAIN,,0901241282,2.00,HL2L28,2004202407588
MA,MA-MAIN,,0405010225,20.00,HL2L28,2004202407700
MA,MA-MAIN,,0405010245,20.00,HL2L28,2004202407701
MA,MA-MAIN,,0906010337,1.00,HL2L28,2004202407703
MA,MA-MAIN,,1002010533,1.00,HL2L28,2004202407736
MA,MA-MAIN,,1002010535,1.00,HL2L28,2004202407737
